mode,f_obs,f_unc,f_prem,q_obs,q_unc,q_prem,Q_obs,Q_unc,Q_prem,k_obs,k_unc,k_prem,ref
11S20,8724.19,5,8726.69,,,3.927,,,254.6473135,,,0.000107661,W
5S36,8726.95,3.5,8732.5,,,4.237,,,236.0160491,,,0.000116238,W
16S11,8729,5,8736.47,,,1.816,,,550.660793,,,4.98E-05,WT
14S13,8731,3.5,8734.78,,,2.097,,,476.8717215,,,5.75E-05,WT
18S9,8735,7,8747.4,,,4.299,,,232.6122354,,,0.00011814,WT
13S16,8741.38,1.6,8752.25,,,2.313,,,432.3389537,,,6.36E-05,W
1T57,8748,10,8748.74,,,7.097,,,140.9046076,,,0.000195061,50
8S26,8753.56,7,8756.06,,,4.191,,,238.6065378,,,0.000115286,–
6S32,8759.31,3.2,8761.8,,,3.991,,,250.5637685,,,0.000109856,W
0S84,8774,8,8743.27,9.2,0.3,8.296,108.6956522,3.54442344,120.5400193,0.000253592,8.27E-06,0.000227873,"S,O"
2T45,8785,6,8803.22,,,5.25,,,190.4761905,,,0.000145195,WT
19S8,8792.95,8,8797.85,,,3.536,,,282.8054299,,,9.77E-05,0
2S47,8807.27,5.1,8806.64,,,6.196,,,161.394448,,,0.000171424,W
3S41,8823.12,2.6,8819.77,,,4.4,,,227.2727273,,,0.000121916,W
0T75,8834,5,8822.15,,,7.48,,,133.6898396,,,0.000207313,T         12 S18   9138.54 ± 5.00 9145.99                3.073
21S6,8849.5,0.8,8850.77,1.58,0.1,1.351,632.9113924,40.05768306,740.19245,4.39E-05,2.78E-06,3.76E-05,WT
1T58,8857,9,8862.38,,,7.112,,,140.6074241,,,0.000198012,50
3T39,8858,8,8871.12,,,4.637,,,215.6566746,,,0.000129231,WT
10S22,8864.67,2.5,8868.46,,,3.417,,,292.6543752,,,9.52E-05,W
0S85,8867,8,8836.6,,,8.315,,,120.2645821,,,0.000230833,S         14 S15   9163.00 ± 4.00 9168.47                3.598
4T34,8873,6,8887.2,,,4.416,,,226.4492754,,,0.000123295,WT
5S37,8884.5,2.9,8890.43,,,4.25,,,235.2941176,,,0.000118703,W
11S21,8896.96,3.3,8904.37,,,3.606,,,277.3155851,,,0.000100874,W
7S30,8902.52,2.4,8909.23,,,3.87,,,258.3979328,,,0.000108318,W
8S27,8912,7.5,8919.6,,,4.17,,,239.8081535,,,0.000116851,WT
6S33,8926.92,2.7,8929.44,,,4,,,250,,,0.000112211,W
12S17,8930.6,5,8933.91,,,2.612,,,382.848392,,,7.33E-05,WT
2T46,8932,7,8941.43,,,5.303,,,188.5725061,,,0.000148963,WT
23S4,8937,2,8941.57,1.35,0.1,1.235,740.7407407,54.8696845,809.7165992,3.79E-05,2.81E-06,3.47E-05,WT
0T76,8943,5,8931.93,,,7.471,,,133.8508901,,,0.00020964,T          20 S8                  9262.17                11.298 I
0S86,8962,8,8929.99,8.9,0.3,8.333,112.3595506,3.787400581,120.0048002,0.000250579,8.45E-06,0.000233777,"S,G"
1T59,8970,8,8975.87,,,7.125,,,140.3508772,,,0.000200915,50
3S42,8976.89,2.45,8976.05,,,4.455,,,224.4668911,,,0.000125627,W
14S14,8982,4,8985.12,,,3.019,,,331.2355084,,,8.52E-05,WT
3T40,9020,10,9026.32,,,4.653,,,214.9151085,,,0.000131945,WT
10S23,9025,10,9038.42,,,3.756,,,266.2406816,,,0.000106652,WT
25S2,9026,2,9022.91,1.21,0.1,1.269,826.446281,68.30134554,788.0220646,3.43E-05,2.84E-06,3.60E-05,WT
5S38,9043.67,2.7,9048.53,,,4.258,,,234.8520432,,,0.000121041,W
19S9,9044,8,9047.16,,,1.632,,,612.745098,,,4.64E-05,WT
4T35,9050,7,9052.02,,,4.438,,,225.3267237,,,0.000126207,WT
13S17,9053.82,3,9063.12,,,2.083,,,480.0768123,,,5.93E-05,W
0T77,9054,5,9041.69,8.41,0.35,7.461,118.9060642,4.948528237,134.0302908,0.000239214,9.96E-06,0.000211932,"T,G"
10S0,9059,2,9056.12,,,1.206,,,829.1873964,,,3.43E-05,0
2T47,9071,8,9078.56,,,5.359,,,186.601978,,,0.000152845,50
8S28,9074,7,9086.85,,,4.143,,,241.3709872,,,0.000118271,–
1T60,9087,9,9089.22,,,7.137,,,140.1148942,,,0.000203794,50
16S13,9088.37,5.5,9095.71,,,3.627,,,275.7099531,,,0.000103642,0
7S31,9089.29,2.8,9095.12,,,3.875,,,258.0645161,,,0.000110721,W
6S34,9092.08,3,9097.31,,,4.004,,,249.7502498,,,0.000114434,W
5T31,9096,7,9105.98,,,4.337,,,230.5741296,,,0.00012407,0
11S22,9103.06,2.4,9111.59,,,3.153,,,317.158262,,,9.03E-05,W
3S43,9138.26,2.3,9131.62,,,4.51,,,221.72949,,,0.000129382,W
17S12,9145.5,3,9151.28,,,2.163,,,462.3208507,,,6.22E-05,WT
0S88,9151,9,9116.92,,,8.365,,,119.5457262,,,0.000239587,S
0T78,9164,6,9151.46,,,7.451,,,134.2101731,,,0.000214217,T
3T41,9166,8,9180.76,,,4.67,,,214.1327623,,,0.000134693,WT
21S7,9170.05,1.5,9173.79,1.58,0.1,1.25,632.9113924,40.05768306,800,4.55E-05,2.88E-06,3.60E-05,WT
9S24,9190,5,9196.93,,,3.929,,,254.517689,,,0.000113521,WT
1T61,9196,8,9202.44,,,7.148,,,139.8992725,,,0.000206651,50
5S39,9200.63,3.2,9206.92,,,4.259,,,234.7969007,,,0.000123189,W
2T48,9205,8,9214.61,,,5.416,,,184.6381093,,,0.000156785,50
4T36,9208,8,9215.65,,,4.462,,,224.1147468,,,0.000129183,50
8S29,9242.65,8,9257.65,,,4.114,,,243.0724356,,,0.000119651,–
0S89,9246,9,9210.47,,,8.38,,,119.3317422,,,0.00024248,S
6S35,9257.99,3.7,9265.32,,,4.006,,,249.6255617,,,0.000116606,W
0T79,9274,6,9261.21,,,7.441,,,134.3905389,,,0.000216496,T
7S32,9279.15,2.3,9279.63,,,3.882,,,257.5991757,,,0.000113171,W
23S5,9290,0.8,9289.58,1.15,0.1,1.112,869.5652174,75.61436673,899.2805755,3.36E-05,2.92E-06,3.25E-05,WT
3S44,9290.13,2.5,9286.52,,,4.564,,,219.1060473,,,0.000133152,W
1T62,9306,7,9315.53,,,7.157,,,139.7233478,,,0.000209454,50
12S19,9320.02,7,9329.1,,,3.469,,,288.2675123,,,0.00010167,WT
3T42,9323,8,9334.44,,,4.688,,,213.3105802,,,0.000137476,WT
11S23,9327,2,9341.1,,,2.863,,,349.2839679,,,8.40E-05,W
14S16,9334,4,9337.18,,,3.543,,,282.2466836,,,0.000103929,0
2T49,9338,8,9349.55,,,5.475,,,182.6484018,,,0.000160814,50
0S90,9339,9,9304.07,,,8.394,,,119.1327138,,,0.000245353,S
9S25,9343,6,9351.55,,,4.017,,,248.9419965,,,0.000118014,0
19S10,9353,2,9359.39,1.98,0.25,1.479,505.0505051,63.76900316,676.132522,5.82E-05,7.35E-06,4.35E-05,WT
5S40,9360.49,3.9,9365.67,,,4.256,,,234.962406,,,0.000125225,W
13S18,9365.05,1.4,9371.79,,,2.038,,,490.6771344,,,6.00E-05,W
0T80,9384,6,9370.95,,,7.43,,,134.589502,,,0.000218737,T          1 T65   9647.00 ± 7.00 9654.15                7.180 50
4T37,9390,7,9378.12,,,4.485,,,222.9654404,,,0.000132138,WT
8S30,9421.74,8,9431.74,,,4.083,,,244.9179525,,,0.000120982,–
1T63,9422,7,9428.51,,,7.166,,,139.5478649,,,0.000212261,50
6S36,9423.84,3.1,9433.35,,,4.005,,,249.6878901,,,0.000118691,W
17S13,9429,3,9435.93,,,1.804,,,554.3237251,,,5.35E-05,WT
0S91,9435,9,9397.73,,,8.407,,,118.9484953,,,0.000248207,S          7 T27                  9686.26                4.465
5T33,9440,7,9449.69,,,4.402,,,227.1694684,,,0.000130683,0
3S45,9441.41,3,9440.8,,,4.618,,,216.5439584,,,0.000136966,W
7S33,9457.46,2.1,9462.76,,,3.89,,,257.0694087,,,0.000115642,W
3T43,9472,7,9487.38,,,4.706,,,212.4946876,,,0.000140265,WT
2T50,9479,10,9483.4,,,5.536,,,180.6358382,,,0.000164934,50
12S20,9487.18,7,9493.18,,,3.724,,,268.528464,,,0.000111063,WT
21S8,9492,3,9496.96,1.45,0.1,1.497,689.6551724,47.56242568,668.002672,4.32E-05,2.98E-06,4.47E-05,WT
27S1,9494,3,9485.84,1.35,0.24,1.542,740.7407407,131.6872428,648.5084306,4.03E-05,7.16E-06,4.60E-05,WT
0T81,9495,6,9480.69,,,7.42,,,134.7708895,,,0.000221001,T          2 T52   9740.00 ± 10.0 9747.83                5.661 50
9S26,9503,5,9505.55,,,4.063,,,246.123554,,,0.000121332,WT
5S41,9511,4,9524.84,,,4.249,,,235.349494,,,0.000127144,W
14S17,9514,4.5,9526.65,,,3.162,,,316.2555345,,,9.46E-05,0
4T38,9523,7,9539.49,,,4.509,,,221.7786649,,,0.000135131,50
0S92,9529,9,9491.43,,,8.418,,,118.7930625,,,0.00025101,S          1 T66   9753.70 ± 9.00 9766.83                7.187 50
1T64,9533,8,9541.38,,,7.174,,,139.3922498,,,0.000215042,50
11S24,9572.88,2,9578.38,,,2.757,,,362.7130939,,,8.30E-05,W
8S31,9593.74,8,9608.74,,,4.052,,,246.7917078,,,0.000122317,–
15S15,9595.53,2,9597.78,,,2.004,,,499.001996,,,6.04E-05,W
6S37,9599,3.5,9601.27,,,4.005,,,249.6878901,,,0.000120804,W
3S46,9603.01,2.7,9594.48,,,4.672,,,214.0410959,,,0.000140823,W
0T82,9605,6,9590.42,,,7.409,,,134.9709812,,,0.000223227,T          9 T10                  9839.82                4.680
2T51,9610,10,9616.16,,,5.598,,,178.6352269,,,0.000169116,50
3T44,9615,7,9639.58,,,4.723,,,211.7298327,,,0.00014303,WT
0S93,9624,9,9585.19,,,8.429,,,118.6380354,,,0.00025382,S          9 S28   9814.28 ± 8.50 9816.78                4.100
7S34,9636.83,2.7,9644.54,,,3.899,,,256.4760195,,,0.000118137,W
12S21,9642.81,8,9647.81,,,3.867,,,258.5983967,,,0.000117207,WT
19S11,9644,4,9653.75,,,1.872,,,534.1880342,,,5.68E-05,0
9S27,9657,7,9660.38,,,4.088,,,244.6183953,,,0.000124067,0
